Chromosome,Feature,Start,End,Strand,ID_gene,Start-2000,End+2000,seqnames,start,end,width,Status,Gene,coverage_percentage,overlap,file
chr01,gene,13286103,13288444,+,Os01g0338000,13284103,13290444,chr01,13287001,13287500,500,hypo,Os01g0338000,100,TRUE,Azucena (CG context)
chr01,gene,13397235,13401925,+,Os01g0340801,13395235,13403925,chr01,13400501,13401000,500,hypo,Os01g0340801,100,TRUE,Azucena (CG context)
chr01,gene,16495359,16503329,+,Os01g0390600,16493359,16505329,chr01,16496001,16496500,500,hypo,Os01g0390600,100,TRUE,Azucena (CG context)
chr01,gene,20197279,20199912,+,Os01g0544700,20195279,20201912,chr01,20198001,20198500,500,hyper,Os01g0544700,100,TRUE,Azucena (CG context)
chr01,gene,21381884,21389642,+,Os01g0562400,21379884,21391642,chr01,21384001,21384500,500,hypo,Os01g0562400,100,TRUE,Azucena (CG context)
chr01,gene,22301233,22327456,+,Os01g0577300,22299233,22329456,chr01,22322501,22323000,500,hypo,Os01g0577300,100,TRUE,Azucena (CG context)
chr01,gene,23295182,23301387,+,Os01g0594650,23293182,23303387,chr01,23300001,23300500,500,hyper,Os01g0594650,100,TRUE,Azucena (CG context)
chr01,gene,23498445,23502375,+,Os01g0598200,23496445,23504375,chr01,23499001,23499500,500,hyper,Os01g0598200,100,TRUE,Azucena (CG context)
chr01,gene,23877540,23880467,+,Os01g0606000,23875540,23882467,chr01,23879001,23879500,500,hyper,Os01g0606000,100,TRUE,Azucena (CG context)
chr01,gene,24375877,24379899,+,Os01g0614700,24373877,24381899,chr01,24376501,24377000,500,hyper,Os01g0614700,100,TRUE,Azucena (CG context)
chr01,gene,24375913,24379864,-,Os01g0614750,24373913,24381864,chr01,24376501,24377000,500,hyper,Os01g0614750,100,TRUE,Azucena (CG context)
chr01,gene,24833455,24838546,+,Os01g0622500,24831455,24840546,chr01,24834501,24835000,500,hyper,Os01g0622500,100,TRUE,Azucena (CG context)
chr01,gene,26905578,26907242,-,Os01g0660400,26903578,26909242,chr01,26906501,26907000,500,hyper,Os01g0660400,100,TRUE,Azucena (CG context)
chr01,gene,26975616,26978062,+,Os01g0661000,26973616,26980062,chr01,26975501,26976000,500,hypo,Os01g0661000,77,TRUE,Azucena (CG context)
chr01,gene,27178705,27183840,-,Os01g0665300,27176705,27185840,chr01,27182501,27183000,500,hyper,Os01g0665300,100,TRUE,Azucena (CG context)
chr01,gene,27624620,27630340,+,Os01g0672700,27622620,27632340,chr01,27625501,27626000,500,hypo,Os01g0672700,100,TRUE,Azucena (CG context)
chr01,gene,28277699,28281938,+,Os01g0685800,28275699,28283938,chr01,28277501,28278000,500,hyper,Os01g0685800,60.4,TRUE,Azucena (CG context)
chr01,gene,28892894,28897236,+,Os01g0698300,28890894,28899236,chr01,28896001,28896500,500,hypo,Os01g0698300,100,TRUE,Azucena (CG context)
chr01,gene,29442652,29447102,+,Os01g0708600,29440652,29449102,chr01,29444501,29445000,500,hypo,Os01g0708600,100,TRUE,Azucena (CG context)
chr01,gene,30788977,30796475,-,Os01g0738100,30786977,30798475,chr01,30790001,30790500,500,hyper,Os01g0738100,100,TRUE,Azucena (CG context)
chr01,gene,31015876,31017514,-,Os01g0742766,31013876,31019514,chr01,31016501,31017000,500,hyper,Os01g0742766,100,TRUE,Azucena (CG context)
chr01,gene,31575708,31583476,+,Os01g0752700,31573708,31585476,chr01,31576501,31577000,500,hyper,Os01g0752700,100,TRUE,Azucena (CG context)
chr01,gene,31678312,31689878,-,Os01g0755100,31676312,31691878,chr01,31678501,31679000,500,hyper,Os01g0755100,100,TRUE,Azucena (CG context)
chr01,gene,32408282,32413597,+,Os01g0768600,32406282,32415597,chr01,32410001,32410500,500,hypo,Os01g0768600,100,TRUE,Azucena (CG context)
chr01,gene,32830891,32836318,-,Os01g0775750,32828891,32838318,chr01,32834001,32834500,500,hypo,Os01g0775750,100,TRUE,Azucena (CG context)
chr01,gene,33098082,33103904,+,Os01g0781200,33096082,33105904,chr01,33099501,33101000,1500,hyper,Os01g0781200,100,TRUE,Azucena (CG context)
chr01,gene,33168429,33172680,-,Os01g0782800,33166429,33174680,chr01,33171001,33171500,500,hypo,Os01g0782800,100,TRUE,Azucena (CG context)
chr01,gene,33897380,33904345,+,Os01g0800500,33895380,33906345,chr01,33900001,33900500,500,hyper,Os01g0800500,100,TRUE,Azucena (CG context)
chr01,gene,34531774,34533771,+,Os01g0812200,34529774,34535771,chr01,34533001,34533500,500,hyper,Os01g0812200,100,TRUE,Azucena (CG context)
chr01,gene,34769362,34772195,-,Os01g0817000,34767362,34774195,chr01,34770501,34771000,500,hyper,Os01g0817000,100,TRUE,Azucena (CG context)
chr01,gene,35320840,35327164,-,Os01g0825800,35318840,35329164,chr01,35323501,35324000,500,hypo,Os01g0825800,100,TRUE,Azucena (CG context)
chr01,gene,35902972,35908325,+,Os01g0837500,35900972,35910325,chr01,35903501,35904000,500,hyper,Os01g0837500,100,TRUE,Azucena (CG context)
chr01,gene,36182463,36187878,-,Os01g0842600,36180463,36189878,chr01,36183001,36183500,500,hyper,Os01g0842600,100,TRUE,Azucena (CG context)
chr01,gene,36398984,36401707,-,Os01g0847300,36396984,36403707,chr01,36399501,36400000,500,hypo,Os01g0847300,100,TRUE,Azucena (CG context)
chr01,gene,38928823,38930008,+,Os01g0895500,38926823,38932008,chr01,38929001,38929500,500,hyper,Os01g0895500,100,TRUE,Azucena (CG context)
chr01,gene,39200106,39206627,-,Os01g0900750,39198106,39208627,chr01,39200501,39201000,500,hypo,Os01g0900750,100,TRUE,Azucena (CG context)
chr01,gene,39211307,39216467,+,Os01g0900800,39209307,39218467,chr01,39214001,39214500,500,hypo,Os01g0900800,100,TRUE,Azucena (CG context)
chr01,gene,39414803,39418617,-,Os01g0905400,39412803,39420617,chr01,39415501,39416000,500,hyper,Os01g0905400,100,TRUE,Azucena (CG context)
chr01,gene,39730285,39736715,+,Os01g0911800,39728285,39738715,chr01,39736001,39736500,500,hyper,Os01g0911800,100,TRUE,Azucena (CG context)
chr01,gene,41533329,41535615,-,Os01g0944700,41531329,41537615,chr01,41534501,41535000,500,hyper,Os01g0944700,100,TRUE,Azucena (CG context)
chr01,gene,41954683,41962785,+,Os01g0952600,41952683,41964785,chr01,41957001,41957500,500,hyper,Os01g0952600,100,TRUE,Azucena (CG context)
chr01,gene,41964153,41970108,+,Os01g0952700,41962153,41972108,chr01,41968501,41969000,500,hypo,Os01g0952700,100,TRUE,Azucena (CG context)
chr01,gene,42275543,42280544,+,Os01g0959000,42273543,42282544,chr01,42280001,42280500,500,hypo,Os01g0959000,100,TRUE,Azucena (CG context)
chr01,gene,42279349,42280367,-,Os01g0959050,42277349,42282367,chr01,42280001,42280500,500,hypo,Os01g0959050,73.4,TRUE,Azucena (CG context)
chr01,gene,42821254,42825043,-,Os01g0970600,42819254,42827043,chr01,42822501,42823000,500,hyper,Os01g0970600,100,TRUE,Azucena (CG context)
chr02,gene,199223,204482,+,Os02g0104100,197223,206482,chr02,201001,201500,500,hypo,Os02g0104100,100,TRUE,Azucena (CG context)
chr02,gene,4440186,4448543,+,Os02g0179900,4438186,4450543,chr02,4440501,4441000,500,hypo,Os02g0179900,100,TRUE,Azucena (CG context)
chr02,gene,4440636,4448187,-,Os02g0179950,4438636,4450187,chr02,4440501,4441000,500,hypo,Os02g0179950,73,TRUE,Azucena (CG context)
chr02,gene,5841792,5847294,+,Os02g0204500,5839792,5849294,chr02,5845001,5845500,500,hypo,Os02g0204500,100,TRUE,Azucena (CG context)
chr02,gene,7618027,7619445,-,Os02g0234400,7616027,7621445,chr02,7618501,7619000,500,hyper,Os02g0234400,100,TRUE,Azucena (CG context)
chr02,gene,8262546,8265570,+,Os02g0246300,8260546,8267570,chr02,8264501,8265000,500,hypo,Os02g0246300,100,TRUE,Azucena (CG context)
chr02,gene,10725543,10729638,-,Os02g0285700,10723543,10731638,chr02,10728001,10728500,500,hypo,Os02g0285700,100,TRUE,Azucena (CG context)
chr02,gene,10960662,10968059,+,Os02g0290000,10958662,10970059,chr02,10966001,10966500,500,hypo,Os02g0290000,100,TRUE,Azucena (CG context)
chr02,gene,11876336,11879831,+,Os02g0304800,11874336,11881831,chr02,11879001,11879500,500,hyper,Os02g0304800,100,TRUE,Azucena (CG context)
chr02,gene,16397680,16401544,-,Os02g0478050,16395680,16403544,chr02,16398501,16399000,500,hyper,Os02g0478050,100,TRUE,Azucena (CG context)
chr02,gene,16522375,16534304,+,Os02g0480800,16520375,16536304,chr02,16523501,16524500,1000,hypo,Os02g0480800,100,TRUE,Azucena (CG context)
chr02,gene,16537316,16545691,-,Os02g0480900,16535316,16547691,chr02,16539501,16540000,500,hyper,Os02g0480900,100,TRUE,Azucena (CG context)
chr02,gene,17527550,17539443,+,Os02g0498300,17525550,17541443,chr02,17537001,17537500,500,hyper,Os02g0498300,100,TRUE,Azucena (CG context)
chr02,gene,17862192,17866853,+,Os02g0503700,17860192,17868853,chr02,17864001,17864500,500,hypo,Os02g0503700,100,TRUE,Azucena (CG context)
chr02,gene,18837800,18843471,+,Os02g0518400,18835800,18845471,chr02,18842001,18842500,500,hyper,Os02g0518400,100,TRUE,Azucena (CG context)
chr02,gene,18839194,18842419,-,Os02g0518500,18837194,18844419,chr02,18842001,18842500,500,hyper,Os02g0518500,83.8,TRUE,Azucena (CG context)
chr02,gene,19882081,19885745,+,Os02g0537700,19880081,19887745,chr02,19882501,19883000,500,hyper,Os02g0537700,100,TRUE,Azucena (CG context)
chr02,gene,21810375,21813457,-,Os02g0570700,21808375,21815457,chr02,21812001,21812500,500,hyper,Os02g0570700,100,TRUE,Azucena (CG context)
chr02,gene,21810677,21813346,+,Os02g0570800,21808677,21815346,chr02,21812001,21812500,500,hyper,Os02g0570800,100,TRUE,Azucena (CG context)
chr02,gene,22955193,22966075,-,Os02g0593100,22953193,22968075,chr02,22957001,22957500,500,hypo,Os02g0593100,100,TRUE,Azucena (CG context)
chr02,gene,25242589,25256486,-,Os02g0631200,25240589,25258486,chr02,25251501,25252000,500,hyper,Os02g0631200,100,TRUE,Azucena (CG context)
chr02,gene,27079298,27082610,-,Os02g0666800,27077298,27084610,chr02,27079501,27080000,500,hypo,Os02g0666800,100,TRUE,Azucena (CG context)
chr02,gene,27559285,27567041,+,Os02g0676000,27557285,27569041,chr02,27560001,27560500,500,hyper,Os02g0676000,100,TRUE,Azucena (CG context)
chr02,gene,28175466,28180071,-,Os02g0687600,28173466,28182071,chr02,28179001,28179500,500,hypo,Os02g0687600,100,TRUE,Azucena (CG context)
chr02,gene,28677205,28680864,-,Os02g0697400,28675205,28682864,chr02,28679001,28679500,500,hypo,Os02g0697400,100,TRUE,Azucena (CG context)
chr02,gene,28755172,28758544,+,Os02g0699300,28753172,28760544,chr02,28757001,28757500,500,hyper,Os02g0699300,100,TRUE,Azucena (CG context)
chr02,gene,28755551,28758166,-,Os02g0699350,28753551,28760166,chr02,28757001,28757500,500,hyper,Os02g0699350,100,TRUE,Azucena (CG context)
chr02,gene,33253386,33264913,-,Os02g0783700,33251386,33266913,chr02,33256001,33256500,500,hyper,Os02g0783700,100,TRUE,Azucena (CG context)
chr02,gene,33255933,33264207,+,Os02g0783650,33253933,33266207,chr02,33256001,33256500,500,hyper,Os02g0783650,100,TRUE,Azucena (CG context)
chr02,gene,33372431,33380829,+,Os02g0786000,33370431,33382829,chr02,33380001,33380500,500,hyper,Os02g0786000,100,TRUE,Azucena (CG context)
chr02,gene,33769298,33776066,+,Os02g0794500,33767298,33778066,chr02,33775501,33776000,500,hypo,Os02g0794500,100,TRUE,Azucena (CG context)
chr02,gene,33838855,33843632,-,Os02g0795900,33836855,33845632,chr02,33839001,33839500,500,hyper,Os02g0795900,100,TRUE,Azucena (CG context)
chr02,gene,34238999,34250985,-,Os02g0803225,34236999,34252985,chr02,34248001,34248500,500,hypo,Os02g0803225,100,TRUE,Azucena (CG context)
chr02,gene,34242810,34252960,+,Os02g0803250,34240810,34254960,chr02,34248001,34248500,500,hypo,Os02g0803250,100,TRUE,Azucena (CG context)
chr02,gene,35113637,35118793,-,Os02g0818500,35111637,35120793,chr02,35116001,35116500,500,hyper,Os02g0818500,100,TRUE,Azucena (CG context)
chr02,gene,35307400,35313636,-,Os02g0822500,35305400,35315636,chr02,35309501,35310000,500,hypo,Os02g0822500,100,TRUE,Azucena (CG context)
chr03,gene,505922,509002,+,Os03g0108600,503922,511002,chr03,506501,507000,500,hyper,Os03g0108600,100,TRUE,Azucena (CG context)
chr03,gene,505922,509002,+,Os03g0108600,503922,511002,chr03,507501,508000,500,hypo,Os03g0108600,100,TRUE,Azucena (CG context)
chr03,gene,1322549,1324314,+,Os03g0123200,1320549,1326314,chr03,1323501,1324000,500,hyper,Os03g0123200,100,TRUE,Azucena (CG context)
chr03,gene,1926259,1929765,+,Os03g0134600,1924259,1931765,chr03,1929001,1929500,500,hypo,Os03g0134600,100,TRUE,Azucena (CG context)
chr03,gene,3039764,3045332,+,Os03g0156500,3037764,3047332,chr03,3044501,3045000,500,hyper,Os03g0156500,100,TRUE,Azucena (CG context)
chr03,gene,3402705,3406888,-,Os03g0162725,3400705,3408888,chr03,3405001,3405500,500,hyper,Os03g0162725,100,TRUE,Azucena (CG context)
chr03,gene,3690005,3697299,+,Os03g0168400,3688005,3699299,chr03,3696501,3697000,500,hypo,Os03g0168400,100,TRUE,Azucena (CG context)
chr03,gene,4815464,4820358,+,Os03g0192500,4813464,4822358,chr03,4816501,4817000,500,hypo,Os03g0192500,100,TRUE,Azucena (CG context)
chr03,gene,5760848,5767440,-,Os03g0210400,5758848,5769440,chr03,5766501,5767000,500,hypo,Os03g0210400,100,TRUE,Azucena (CG context)
chr03,gene,8177756,8181722,-,Os03g0254800,8175756,8183722,chr03,8180501,8181000,500,hyper,Os03g0254800,100,TRUE,Azucena (CG context)
chr03,gene,8207583,8211913,-,Os03g0255200,8205583,8213913,chr03,8208001,8208500,500,hypo,Os03g0255200,100,TRUE,Azucena (CG context)
chr03,gene,8720259,8728315,-,Os03g0264800,8718259,8730315,chr03,8724001,8724500,500,hyper,Os03g0264800,100,TRUE,Azucena (CG context)
chr03,gene,9843336,9846670,+,Os03g0285700,9841336,9848670,chr03,9846001,9846500,500,hyper,Os03g0285700,100,TRUE,Azucena (CG context)
chr03,gene,10428927,10433729,+,Os03g0297700,10426927,10435729,chr03,10432501,10433000,500,hypo,Os03g0297700,100,TRUE,Azucena (CG context)
chr03,gene,12145860,12150208,+,Os03g0330200,12143860,12152208,chr03,12147001,12147500,500,hypo,Os03g0330200,100,TRUE,Azucena (CG context)
chr03,gene,12452080,12456329,+,Os03g0336200,12450080,12458329,chr03,12455001,12455500,500,hypo,Os03g0336200,100,TRUE,Azucena (CG context)
chr03,gene,12715987,12718369,-,Os03g0341100,12713987,12720369,chr03,12717001,12717500,500,hypo,Os03g0341100,100,TRUE,Azucena (CG context)
chr03,gene,12716070,12718241,+,Os03g0341150,12714070,12720241,chr03,12717001,12717500,500,hypo,Os03g0341150,100,TRUE,Azucena (CG context)
chr03,gene,13063312,13070842,-,Os03g0348200,13061312,13072842,chr03,13063501,13064000,500,hyper,Os03g0348200,100,TRUE,Azucena (CG context)
chr03,gene,14701314,14705044,+,Os03g0373500,14699314,14707044,chr03,14703001,14703500,500,hypo,Os03g0373500,100,TRUE,Azucena (CG context)
chr03,gene,14759852,14767790,+,Os03g0374600,14757852,14769790,chr03,14760501,14761000,500,hypo,Os03g0374600,100,TRUE,Azucena (CG context)
chr03,gene,14854768,14860453,+,Os03g0376350,14852768,14862453,chr03,14860001,14860500,500,hypo,Os03g0376350,90.6,TRUE,Azucena (CG context)
chr03,gene,15488402,15491826,-,Os03g0388366,15486402,15493826,chr03,15490001,15490500,500,hypo,Os03g0388366,100,TRUE,Azucena (CG context)
chr03,gene,18053010,18059557,+,Os03g0430500,18051010,18061557,chr03,18056501,18057000,500,hyper,Os03g0430500,100,TRUE,Azucena (CG context)
chr03,gene,18129996,18142854,+,Os03g0431800,18127996,18144854,chr03,18137001,18137500,500,hyper,Os03g0431800,100,TRUE,Azucena (CG context)
chr03,gene,20515441,20519238,-,Os03g0567600,20513441,20521238,chr03,20517001,20517500,500,hyper,Os03g0567600,100,TRUE,Azucena (CG context)
chr03,gene,20515592,20518411,+,Os03g0568000,20513592,20520411,chr03,20517001,20517500,500,hyper,Os03g0568000,100,TRUE,Azucena (CG context)
chr03,gene,20550499,20557987,+,Os03g0568400,20548499,20559987,chr03,20556001,20556500,500,hyper,Os03g0568400,100,TRUE,Azucena (CG context)
chr03,gene,21165030,21170759,-,Os03g0578200,21163030,21172759,chr03,21165501,21166000,500,hypo,Os03g0578200,100,TRUE,Azucena (CG context)
chr03,gene,21500778,21515569,-,Os03g0583900,21498778,21517569,chr03,21515001,21515500,500,hypo,Os03g0583900,100,TRUE,Azucena (CG context)
chr03,gene,22547535,22552000,+,Os03g0602600,22545535,22554000,chr03,22548001,22548500,500,hypo,Os03g0602600,100,TRUE,Azucena (CG context)
chr03,gene,22641490,22657252,+,Os03g0604432,22639490,22659252,chr03,22653001,22653500,500,hyper,Os03g0604432,100,TRUE,Azucena (CG context)
chr03,gene,22641492,22657252,-,Os03g0604200,22639492,22659252,chr03,22653001,22653500,500,hyper,Os03g0604200,100,TRUE,Azucena (CG context)
chr03,gene,23485494,23490540,+,Os03g0619400,23483494,23492540,chr03,23487001,23487500,500,hyper,Os03g0619400,100,TRUE,Azucena (CG context)
chr03,gene,24341231,24344739,+,Os03g0636600,24339231,24346739,chr03,24342001,24342500,500,hypo,Os03g0636600,100,TRUE,Azucena (CG context)
chr03,gene,24850181,24854377,-,Os03g0644400,24848181,24856377,chr03,24853001,24853500,500,hypo,Os03g0644400,100,TRUE,Azucena (CG context)
chr03,gene,25526785,25530702,-,Os03g0654700,25524785,25532702,chr03,25527501,25528000,500,hyper,Os03g0654700,100,TRUE,Azucena (CG context)
chr03,gene,28046117,28048027,+,Os03g0699600,28044117,28050027,chr03,28047001,28047500,500,hypo,Os03g0699600,100,TRUE,Azucena (CG context)
chr03,gene,28561107,28564805,+,Os03g0708400,28559107,28566805,chr03,28564501,28565000,500,hyper,Os03g0708400,61,TRUE,Azucena (CG context)
chr03,gene,29397649,29401365,+,Os03g0723600,29395649,29403365,chr03,29400501,29401000,500,hypo,Os03g0723600,100,TRUE,Azucena (CG context)
chr03,gene,30109911,30114827,+,Os03g0735100,30107911,30116827,chr03,30110501,30111000,500,hypo,Os03g0735100,100,TRUE,Azucena (CG context)
chr03,gene,30109968,30114819,-,Os03g0735150,30107968,30116819,chr03,30110501,30111000,500,hypo,Os03g0735150,100,TRUE,Azucena (CG context)
chr03,gene,30764587,30773947,+,Os03g0747900,30762587,30775947,chr03,30771001,30771500,500,hypo,Os03g0747900,100,TRUE,Azucena (CG context)
chr03,gene,31888363,31896406,+,Os03g0770100,31886363,31898406,chr03,31890501,31891000,500,hypo,Os03g0770100,100,TRUE,Azucena (CG context)
chr03,gene,32570073,32576114,-,Os03g0784800,32568073,32578114,chr03,32574501,32575000,500,hyper,Os03g0784800,100,TRUE,Azucena (CG context)
chr03,gene,32591747,32599028,-,Os03g0785300,32589747,32601028,chr03,32592001,32592500,500,hypo,Os03g0785300,100,TRUE,Azucena (CG context)
chr03,gene,32999502,33006898,+,Os03g0793500,32997502,33008898,chr03,33004501,33005000,500,hyper,Os03g0793500,100,TRUE,Azucena (CG context)
chr03,gene,33110648,33118198,+,Os03g0796000,33108648,33120198,chr03,33113001,33113500,500,hyper,Os03g0796000,100,TRUE,Azucena (CG context)
chr03,gene,33328277,33333234,+,Os03g0799600,33326277,33335234,chr03,33332001,33332500,500,hyper,Os03g0799600,100,TRUE,Azucena (CG context)
chr03,gene,33346315,33349947,+,Os03g0799900,33344315,33351947,chr03,33347501,33348000,500,hypo,Os03g0799900,100,TRUE,Azucena (CG context)
chr03,gene,33394172,33402259,-,Os03g0800800,33392172,33404259,chr03,33395501,33396000,500,hyper,Os03g0800800,100,TRUE,Azucena (CG context)
chr03,gene,33716907,33717725,+,Os03g0806800,33714907,33719725,chr03,33717001,33717500,500,hypo,Os03g0806800,100,TRUE,Azucena (CG context)
chr03,gene,33752799,33756068,+,Os03g0807500,33750799,33758068,chr03,33754501,33755000,500,hypo,Os03g0807500,100,TRUE,Azucena (CG context)
chr03,gene,34334756,34340133,+,Os03g0818100,34332756,34342133,chr03,34339001,34339500,500,hyper,Os03g0818100,100,TRUE,Azucena (CG context)
chr03,gene,34350604,34352915,+,Os03g0818700,34348604,34354915,chr03,34351001,34351500,500,hyper,Os03g0818700,100,TRUE,Azucena (CG context)
chr03,gene,35414081,35416004,-,Os03g0842400,35412081,35418004,chr03,35415001,35415500,500,hyper,Os03g0842400,100,TRUE,Azucena (CG context)
chr03,gene,36265672,36271489,-,Os03g0859300,36263672,36273489,chr03,36266501,36267000,500,hyper,Os03g0859300,100,TRUE,Azucena (CG context)
chr04,gene,89024,97611,+,Os04g0101300,87024,99611,chr04,95001,95500,500,hyper,Os04g0101300,100,TRUE,Azucena (CG context)
chr04,gene,357603,360450,-,Os04g0105400,355603,362450,chr04,358501,359000,500,hypo,Os04g0105400,100,TRUE,Azucena (CG context)
chr04,gene,793538,799310,-,Os04g0113000,791538,801310,chr04,793501,794000,500,hypo,Os04g0113000,92.6,TRUE,Azucena (CG context)
chr04,gene,1046902,1053870,+,Os04g0117600,1044902,1055870,chr04,1047501,1048000,500,hypo,Os04g0117600,100,TRUE,Azucena (CG context)
chr04,gene,1160650,1166868,+,Os04g0119800,1158650,1168868,chr04,1162001,1162500,500,hyper,Os04g0119800,100,TRUE,Azucena (CG context)
chr04,gene,7947573,7949742,+,Os04g0218900,7945573,7951742,chr04,7948501,7949000,500,hypo,Os04g0218900,100,TRUE,Azucena (CG context)
chr04,gene,8528512,8533136,+,Os04g0227500,8526512,8535136,chr04,8532501,8533000,500,hypo,Os04g0227500,100,TRUE,Azucena (CG context)
chr04,gene,11569339,11574645,-,Os04g0275100,11567339,11576645,chr04,11571001,11571500,500,hypo,Os04g0275100,100,TRUE,Azucena (CG context)
chr04,gene,12318484,12322114,+,Os04g0285601,12316484,12324114,chr04,12321001,12321500,500,hypo,Os04g0285601,100,TRUE,Azucena (CG context)
chr04,gene,13552826,13555333,-,Os04g0303100,13550826,13557333,chr04,13554501,13555000,500,hyper,Os04g0303100,100,TRUE,Azucena (CG context)
chr04,gene,16590486,16593924,-,Os04g0348400,16588486,16595924,chr04,16593501,16594000,500,hyper,Os04g0348400,84.8,TRUE,Azucena (CG context)
chr04,gene,19921005,19929376,-,Os04g0402200,19919005,19931376,chr04,19928501,19929000,500,hypo,Os04g0402200,100,TRUE,Azucena (CG context)
chr04,gene,20245226,20249942,-,Os04g0409500,20243226,20251942,chr04,20245501,20246000,500,hyper,Os04g0409500,100,TRUE,Azucena (CG context)
chr04,gene,20873336,20876370,+,Os04g0422000,20871336,20878370,chr04,20874501,20875000,500,hypo,Os04g0422000,100,TRUE,Azucena (CG context)
chr04,gene,20949658,20952802,-,Os04g0423700,20947658,20954802,chr04,20951501,20952000,500,hypo,Os04g0423700,100,TRUE,Azucena (CG context)
chr04,gene,22149778,22155328,+,Os04g0444200,22147778,22157328,chr04,22154501,22155000,500,hypo,Os04g0444200,100,TRUE,Azucena (CG context)
chr04,gene,22154341,22154867,-,Os04g0444250,22152341,22156867,chr04,22154501,22155000,500,hypo,Os04g0444250,73.4,TRUE,Azucena (CG context)
chr04,gene,22369763,22376615,+,Os04g0448900,22367763,22378615,chr04,22370501,22371000,500,hypo,Os04g0448900,100,TRUE,Azucena (CG context)
chr04,gene,23385292,23391194,-,Os04g0468000,23383292,23393194,chr04,23389501,23390000,500,hyper,Os04g0468000,100,TRUE,Azucena (CG context)
chr04,gene,23843614,23847934,+,Os04g0476400,23841614,23849934,chr04,23845501,23846000,500,hyper,Os04g0476400,100,TRUE,Azucena (CG context)
chr04,gene,24279601,24283265,-,Os04g0485800,24277601,24285265,chr04,24280001,24280500,500,hypo,Os04g0485800,100,TRUE,Azucena (CG context)
chr04,gene,25474092,25489203,-,Os04g0509300,25472092,25491203,chr04,25476001,25476500,500,hyper,Os04g0509300,100,TRUE,Azucena (CG context)
chr04,gene,25535365,25541426,-,Os04g0510400,25533365,25543426,chr04,25540501,25541000,500,hypo,Os04g0510400,100,TRUE,Azucena (CG context)
chr04,gene,25708429,25712602,-,Os04g0514600,25706429,25714602,chr04,25711001,25711500,500,hypo,Os04g0514600,100,TRUE,Azucena (CG context)
chr04,gene,26387566,26391159,+,Os04g0528100,26385566,26393159,chr04,26390001,26390500,500,hyper,Os04g0528100,100,TRUE,Azucena (CG context)
chr04,gene,29666137,29670469,+,Os04g0587451,29664137,29672469,chr04,29670001,29670500,500,hyper,Os04g0587451,93.8,TRUE,Azucena (CG context)
chr04,gene,29669835,29672579,+,Os04g0587500,29667835,29674579,chr04,29670001,29670500,500,hyper,Os04g0587500,100,TRUE,Azucena (CG context)
chr04,gene,30697883,30701355,-,Os04g0607150,30695883,30703355,chr04,30698001,30698500,500,hypo,Os04g0607150,100,TRUE,Azucena (CG context)
