Chromosome,Feature,Start,End,Strand,ID_gene,seqnames,start,end,width,Status,Gene,coverage_percentage,overlap,file
chr01,gene,13235248,13237248,+,Os01g0337500,chr01,13235501,13236000,500,hypo,Os01g0337500,100,TRUE,Azucena (CG context)
chr01,gene,13289338,13291338,-,Os01g0338150,chr01,13289501,13290000,500,hypo,Os01g0338150,100,TRUE,Azucena (CG context)
chr01,gene,13289658,13291658,+,Os01g0338100,chr01,13289501,13290000,500,hypo,Os01g0338100,68.6,TRUE,Azucena (CG context)
chr01,gene,13361638,13363638,+,Os01g0340100,chr01,13363001,13363500,500,hyper,Os01g0340100,100,TRUE,Azucena (CG context)
chr01,gene,14066832,14068832,-,Os01g0351500,chr01,14068501,14069000,500,hyper,Os01g0351500,66.4,TRUE,Azucena (CG context)
chr01,gene,21663759,21665759,-,Os01g0566500,chr01,21665001,21665500,500,hypo,Os01g0566500,100,TRUE,Azucena (CG context)
chr01,gene,23299874,23301874,-,Os01g0594800,chr01,23300001,23300500,500,hyper,Os01g0594800,100,TRUE,Azucena (CG context)
chr01,gene,23893058,23895058,+,Os01g0606400,chr01,23894501,23895000,500,hyper,Os01g0606400,100,TRUE,Azucena (CG context)
chr01,gene,25150108,25152108,-,Os01g0629900,chr01,25151001,25151500,500,hypo,Os01g0629900,100,TRUE,Azucena (CG context)
chr01,gene,26788255,26790255,+,Os01g0658600,chr01,26789001,26789500,500,hyper,Os01g0658600,100,TRUE,Azucena (CG context)
chr01,gene,26974082,26976082,-,Os01g0661200,chr01,26975501,26976000,500,hypo,Os01g0661200,100,TRUE,Azucena (CG context)
chr01,gene,27128541,27130541,-,Os01g0664200,chr01,27129501,27130000,500,hypo,Os01g0664200,100,TRUE,Azucena (CG context)
chr01,gene,27621546,27623546,-,Os01g0672600,chr01,27623001,27623500,500,hypo,Os01g0672600,100,TRUE,Azucena (CG context)
chr01,gene,27622620,27624620,+,Os01g0672700,chr01,27623001,27623500,500,hypo,Os01g0672700,100,TRUE,Azucena (CG context)
chr01,gene,27824973,27826973,+,Os01g0676800,chr01,27826501,27827000,500,hypo,Os01g0676800,94.6,TRUE,Azucena (CG context)
chr01,gene,28655603,28657603,-,Os01g0693900,chr01,28656501,28657000,500,hyper,Os01g0693900,100,TRUE,Azucena (CG context)
chr01,gene,29194123,29196123,-,Os01g0704250,chr01,29195501,29196000,500,hyper,Os01g0704250,100,TRUE,Azucena (CG context)
chr01,gene,29200204,29202204,-,Os01g0704300,chr01,29201001,29202000,1000,hypo,Os01g0704300,100,TRUE,Azucena (CG context)
chr01,gene,31420946,31422946,+,Os01g0750300,chr01,31421001,31421500,500,hypo,Os01g0750300,100,TRUE,Azucena (CG context)
chr01,gene,31490428,31492428,+,Os01g0750900,chr01,31490501,31491000,500,hyper,Os01g0750900,100,TRUE,Azucena (CG context)
chr01,gene,31923866,31925866,+,Os01g0759000,chr01,31925001,31925500,500,hyper,Os01g0759000,100,TRUE,Azucena (CG context)
chr01,gene,31925136,31927136,-,Os01g0759100,chr01,31925001,31925500,500,hyper,Os01g0759100,73,TRUE,Azucena (CG context)
chr01,gene,32833841,32835841,+,Os01g0776300,chr01,32834001,32834500,500,hypo,Os01g0776300,100,TRUE,Azucena (CG context)
chr01,gene,33487285,33489285,-,Os01g0789100,chr01,33488501,33489000,500,hypo,Os01g0789100,100,TRUE,Azucena (CG context)
chr01,gene,34436164,34438164,+,Os01g0810700,chr01,34437001,34437500,500,hyper,Os01g0810700,100,TRUE,Azucena (CG context)
chr01,gene,34436388,34438388,-,Os01g0810600,chr01,34437001,34437500,500,hyper,Os01g0810600,100,TRUE,Azucena (CG context)
chr01,gene,35758071,35760071,-,Os01g0834500,chr01,35759001,35759500,500,hyper,Os01g0834500,100,TRUE,Azucena (CG context)
chr01,gene,36730836,36732836,+,Os01g0852900,chr01,36731001,36731500,500,hypo,Os01g0852900,100,TRUE,Azucena (CG context)
chr01,gene,38928465,38930465,-,Os01g0895600,chr01,38929001,38929500,500,hyper,Os01g0895600,100,TRUE,Azucena (CG context)
chr01,gene,38984663,38986663,+,Os01g0897100,chr01,38986001,38986500,500,hypo,Os01g0897100,100,TRUE,Azucena (CG context)
chr01,gene,38985448,38987448,-,Os01g0897150,chr01,38986001,38986500,500,hypo,Os01g0897150,100,TRUE,Azucena (CG context)
chr01,gene,39011826,39013826,-,Os01g0897700,chr01,39013001,39013500,500,hypo,Os01g0897700,100,TRUE,Azucena (CG context)
chr01,gene,39068132,39070132,-,Os01g0898600,chr01,39068501,39069000,500,hyper,Os01g0898600,100,TRUE,Azucena (CG context)
chr01,gene,39342823,39344823,+,Os01g0903900,chr01,39344501,39345000,500,hyper,Os01g0903900,64.6,TRUE,Azucena (CG context)
chr01,gene,39342943,39344943,-,Os01g0904000,chr01,39344501,39345000,500,hyper,Os01g0904000,88.6,TRUE,Azucena (CG context)
chr01,gene,39735140,39737140,-,Os01g0911900,chr01,39736001,39736500,500,hyper,Os01g0911900,100,TRUE,Azucena (CG context)
chr01,gene,40801915,40803915,+,Os01g0929967,chr01,40803501,40804000,500,hypo,Os01g0929967,83,TRUE,Azucena (CG context)
chr01,gene,41363160,41365160,+,Os01g0941200,chr01,41363501,41365000,1500,hyper,Os01g0941200,100,TRUE,Azucena (CG context)
chr01,gene,41594822,41596822,-,Os01g0946550,chr01,41596001,41596500,500,hypo,Os01g0946550,100,TRUE,Azucena (CG context)
chr01,gene,41595358,41597358,-,Os01g0946600,chr01,41596001,41596500,500,hypo,Os01g0946600,100,TRUE,Azucena (CG context)
chr01,gene,42070166,42072166,-,Os01g0955050,chr01,42070501,42071000,500,hyper,Os01g0955050,100,TRUE,Azucena (CG context)
chr01,gene,42279274,42281274,-,Os01g0959100,chr01,42280001,42280500,500,hypo,Os01g0959100,100,TRUE,Azucena (CG context)
chr02,gene,882324,884324,+,Os02g0116700,chr02,883501,884000,500,hypo,Os02g0116700,100,TRUE,Azucena (CG context)
chr02,gene,882549,884549,-,Os02g0116750,chr02,883501,884000,500,hypo,Os02g0116750,100,TRUE,Azucena (CG context)
chr02,gene,1045669,1047669,-,Os02g0120000,chr02,1045501,1046000,500,hyper,Os02g0120000,66.4,TRUE,Azucena (CG context)
chr02,gene,1858177,1860177,-,Os02g0135300,chr02,1859001,1859500,500,hypo,Os02g0135300,100,TRUE,Azucena (CG context)
chr02,gene,2720136,2722136,+,Os02g0149500,chr02,2721501,2722000,500,hyper,Os02g0149500,100,TRUE,Azucena (CG context)
chr02,gene,3325802,3327802,+,Os02g0161601,chr02,3327001,3327500,500,hyper,Os02g0161601,100,TRUE,Azucena (CG context)
chr02,gene,4022691,4024691,+,Os02g0173500,chr02,4023501,4024000,500,hyper,Os02g0173500,100,TRUE,Azucena (CG context)
chr02,gene,4353073,4355073,-,Os02g0178800,chr02,4354501,4355000,500,hyper,Os02g0178800,100,TRUE,Azucena (CG context)
chr02,gene,4418302,4420302,-,Os02g0179450,chr02,4418501,4419000,500,hyper,Os02g0179450,100,TRUE,Azucena (CG context)
chr02,gene,4985257,4987257,+,Os02g0190200,chr02,4986001,4986500,500,hyper,Os02g0190200,100,TRUE,Azucena (CG context)
chr02,gene,5922727,5924727,+,Os02g0205400,chr02,5923501,5924000,500,hyper,Os02g0205400,100,TRUE,Azucena (CG context)
chr02,gene,7060837,7062837,+,Os02g0225900,chr02,7062001,7062500,500,hypo,Os02g0225900,100,TRUE,Azucena (CG context)
chr02,gene,8049954,8051954,+,Os02g0242550,chr02,8050501,8051500,1000,hypo,Os02g0242550,100,TRUE,Azucena (CG context)
chr02,gene,9104619,9106619,+,Os02g0261000,chr02,9105001,9105500,500,hyper,Os02g0261000,100,TRUE,Azucena (CG context)
chr02,gene,16240898,16242898,+,Os02g0475101,chr02,16241501,16242000,500,hyper,Os02g0475101,100,TRUE,Azucena (CG context)
chr02,gene,17844294,17846294,+,Os02g0503400,chr02,17845001,17845500,500,hypo,Os02g0503400,100,TRUE,Azucena (CG context)
chr02,gene,18037127,18039127,+,Os02g0506500,chr02,18038501,18039000,500,hyper,Os02g0506500,100,TRUE,Azucena (CG context)
chr02,gene,19065338,19067338,+,Os02g0522800,chr02,19065501,19066000,500,hyper,Os02g0522800,100,TRUE,Azucena (CG context)
chr02,gene,20882277,20884277,+,Os02g0553600,chr02,20883001,20883500,500,hypo,Os02g0553600,100,TRUE,Azucena (CG context)
chr02,gene,21763011,21765011,+,Os02g0570400,chr02,21764501,21765000,500,hyper,Os02g0570400,100,TRUE,Azucena (CG context)
chr02,gene,21786170,21788170,+,Os02g0570500,chr02,21787001,21787500,500,hypo,Os02g0570500,100,TRUE,Azucena (CG context)
chr02,gene,21786183,21788183,-,Os02g0570600,chr02,21787001,21787500,500,hypo,Os02g0570600,100,TRUE,Azucena (CG context)
chr02,gene,23103718,23105718,-,Os02g0595400,chr02,23104501,23105000,500,hypo,Os02g0595400,100,TRUE,Azucena (CG context)
chr02,gene,23124925,23126925,-,Os02g0596000,chr02,23125501,23126000,500,hypo,Os02g0596000,100,TRUE,Azucena (CG context)
chr02,gene,24688869,24690869,-,Os02g0620566,chr02,24690001,24690500,500,hyper,Os02g0620566,100,TRUE,Azucena (CG context)
chr02,gene,24688884,24690884,+,Os02g0620600,chr02,24690001,24690500,500,hyper,Os02g0620600,100,TRUE,Azucena (CG context)
chr02,gene,25131526,25133526,+,Os02g0628600,chr02,25131501,25132000,500,hypo,Os02g0628600,95,TRUE,Azucena (CG context)
chr02,gene,25284967,25286967,-,Os02g0631700,chr02,25285501,25286000,500,hypo,Os02g0631700,100,TRUE,Azucena (CG context)
chr02,gene,28413143,28415143,+,Os02g0691800,chr02,28413501,28414000,500,hyper,Os02g0691800,100,TRUE,Azucena (CG context)
chr02,gene,28462743,28464743,-,Os02g0693200,chr02,28463501,28464000,500,hypo,Os02g0693200,100,TRUE,Azucena (CG context)
chr02,gene,28677539,28679539,+,Os02g0697450,chr02,28679001,28679500,500,hypo,Os02g0697450,100,TRUE,Azucena (CG context)
chr02,gene,28933436,28935436,+,Os02g0702400,chr02,28934001,28934500,500,hyper,Os02g0702400,100,TRUE,Azucena (CG context)
chr02,gene,29713769,29715769,-,Os02g0716100,chr02,29715001,29715500,500,hyper,Os02g0716100,100,TRUE,Azucena (CG context)
chr02,gene,30335274,30337274,-,Os02g0728850,chr02,30336001,30336500,500,hypo,Os02g0728850,100,TRUE,Azucena (CG context)
chr02,gene,30821545,30823545,+,Os02g0738400,chr02,30822501,30823000,500,hypo,Os02g0738400,100,TRUE,Azucena (CG context)
chr02,gene,33773996,33775996,-,Os02g0794600,chr02,33775501,33776000,500,hypo,Os02g0794600,99.2,TRUE,Azucena (CG context)
chr02,gene,33912149,33914149,+,Os02g0796900,chr02,33912001,33912500,500,hypo,Os02g0796900,70.4,TRUE,Azucena (CG context)
chr02,gene,34718866,34720866,+,Os02g0811200,chr02,34720501,34721000,500,hypo,Os02g0811200,73.2,TRUE,Azucena (CG context)
chr02,gene,34928323,34930323,+,Os02g0815500,chr02,34930001,34930500,500,hyper,Os02g0815500,64.6,TRUE,Azucena (CG context)
chr03,gene,506894,508894,-,Os03g0108700,chr03,507501,508000,500,hypo,Os03g0108700,100,TRUE,Azucena (CG context)
chr03,gene,1325450,1327450,+,Os03g0123300,chr03,1325501,1326000,500,hypo,Os03g0123300,100,TRUE,Azucena (CG context)
chr03,gene,1712575,1714575,+,Os03g0130300,chr03,1712501,1713000,500,hypo,Os03g0130300,85.2,TRUE,Azucena (CG context)
chr03,gene,2895477,2897477,-,Os03g0152600,chr03,2895501,2896000,500,hyper,Os03g0152600,100,TRUE,Azucena (CG context)
chr03,gene,3403791,3405791,+,Os03g0162800,chr03,3405001,3405500,500,hyper,Os03g0162800,100,TRUE,Azucena (CG context)
chr03,gene,3405989,3407989,+,Os03g0162900,chr03,3407001,3407500,500,hypo,Os03g0162900,100,TRUE,Azucena (CG context)
chr03,gene,3485755,3487755,+,Os03g0164901,chr03,3486501,3487000,500,hyper,Os03g0164901,100,TRUE,Azucena (CG context)
chr03,gene,4365273,4367273,-,Os03g0183200,chr03,4366001,4366500,500,hyper,Os03g0183200,100,TRUE,Azucena (CG context)
chr03,gene,5173138,5175138,+,Os03g0198500,chr03,5174501,5175000,500,hyper,Os03g0198500,100,TRUE,Azucena (CG context)
chr03,gene,5614064,5616064,-,Os03g0207300,chr03,5615501,5616000,500,hypo,Os03g0207300,100,TRUE,Azucena (CG context)
chr03,gene,5905703,5907703,+,Os03g0213300,chr03,5907001,5907500,500,hypo,Os03g0213300,100,TRUE,Azucena (CG context)
chr03,gene,6634675,6636675,+,Os03g0226400,chr03,6636001,6636500,500,hyper,Os03g0226400,100,TRUE,Azucena (CG context)
chr03,gene,6634837,6636837,-,Os03g0226501,chr03,6636001,6636500,500,hyper,Os03g0226501,100,TRUE,Azucena (CG context)
chr03,gene,8180249,8182249,-,Os03g0254900,chr03,8180501,8181000,500,hyper,Os03g0254900,100,TRUE,Azucena (CG context)
chr03,gene,8842360,8844360,+,Os03g0267400,chr03,8843501,8844000,500,hypo,Os03g0267400,100,TRUE,Azucena (CG context)
chr03,gene,8894186,8896186,-,Os03g0268200,chr03,8895501,8896000,500,hypo,Os03g0268200,100,TRUE,Azucena (CG context)
chr03,gene,8894382,8896382,+,Os03g0268250,chr03,8895501,8896000,500,hypo,Os03g0268250,100,TRUE,Azucena (CG context)
chr03,gene,9845723,9847723,-,Os03g0285800,chr03,9846001,9846500,500,hyper,Os03g0285800,100,TRUE,Azucena (CG context)
chr03,gene,12717110,12719110,-,Os03g0341200,chr03,12717001,12717500,500,hypo,Os03g0341200,78.2,TRUE,Azucena (CG context)
chr03,gene,12927937,12929937,-,Os03g0346200,chr03,12929001,12929500,500,hypo,Os03g0346200,100,TRUE,Azucena (CG context)
chr03,gene,14092733,14094733,+,Os03g0362200,chr03,14093501,14094000,500,hypo,Os03g0362200,100,TRUE,Azucena (CG context)
chr03,gene,15074021,15076021,+,Os03g0380700,chr03,15074501,15075000,500,hyper,Os03g0380700,100,TRUE,Azucena (CG context)
chr03,gene,15293400,15295400,-,Os03g0385301,chr03,15293501,15294000,500,hyper,Os03g0385301,100,TRUE,Azucena (CG context)
chr03,gene,16548179,16550179,-,Os03g0404650,chr03,16548001,16549500,1500,hyper,Os03g0404650,88.1333333333333,TRUE,Azucena (CG context)
chr03,gene,16597317,16599317,+,Os03g0405550,chr03,16598001,16598500,500,hyper,Os03g0405550,100,TRUE,Azucena (CG context)
chr03,gene,16626549,16628549,+,Os03g0405900,chr03,16628001,16628500,500,hypo,Os03g0405900,100,TRUE,Azucena (CG context)
chr03,gene,16627692,16629692,-,Os03g0406001,chr03,16628001,16628500,500,hypo,Os03g0406001,100,TRUE,Azucena (CG context)
chr03,gene,17621509,17623509,-,Os03g0423300,chr03,17621501,17622000,500,hypo,Os03g0423300,98.4,TRUE,Azucena (CG context)
chr03,gene,19583967,19585967,-,Os03g0554900,chr03,19584001,19584500,500,hyper,Os03g0554900,100,TRUE,Azucena (CG context)
chr03,gene,21958011,21960011,+,Os03g0591801,chr03,21958001,21958500,500,hyper,Os03g0591801,98,TRUE,Azucena (CG context)
chr03,gene,22097628,22099628,+,Os03g0594500,chr03,22099001,22099500,500,hyper,Os03g0594500,100,TRUE,Azucena (CG context)
chr03,gene,22098401,22100401,+,Os03g0594600,chr03,22099001,22099500,500,hyper,Os03g0594600,100,TRUE,Azucena (CG context)
chr03,gene,22334686,22336686,-,Os03g0598800,chr03,22335001,22335500,500,hypo,Os03g0598800,100,TRUE,Azucena (CG context)
chr03,gene,23052583,23054583,+,Os03g0610800,chr03,23054001,23054500,500,hyper,Os03g0610800,100,TRUE,Azucena (CG context)
chr03,gene,23486675,23488675,-,Os03g0619501,chr03,23487001,23487500,500,hyper,Os03g0619501,100,TRUE,Azucena (CG context)
chr03,gene,24210554,24212554,+,Os03g0633800,chr03,24210501,24211000,500,hypo,Os03g0633800,89.4,TRUE,Azucena (CG context)
chr03,gene,27786230,27788230,-,Os03g0693900,chr03,27787001,27787500,500,hypo,Os03g0693900,100,TRUE,Azucena (CG context)
chr03,gene,28563482,28565482,-,Os03g0708500,chr03,28564501,28565000,500,hyper,Os03g0708500,100,TRUE,Azucena (CG context)
chr03,gene,29399966,29401966,-,Os03g0723700,chr03,29400501,29401000,500,hypo,Os03g0723700,100,TRUE,Azucena (CG context)
chr03,gene,29400029,29402029,+,Os03g0723800,chr03,29400501,29401000,500,hypo,Os03g0723800,100,TRUE,Azucena (CG context)
chr03,gene,29554656,29556656,+,Os03g0726400,chr03,29556001,29556500,500,hyper,Os03g0726400,100,TRUE,Azucena (CG context)
chr03,gene,29683433,29685433,+,Os03g0727800,chr03,29683501,29684000,500,hyper,Os03g0727800,100,TRUE,Azucena (CG context)
chr03,gene,29878945,29880945,+,Os03g0730700,chr03,29879501,29880000,500,hyper,Os03g0730700,100,TRUE,Azucena (CG context)
chr03,gene,29878989,29880989,-,Os03g0730750,chr03,29879501,29880000,500,hyper,Os03g0730750,100,TRUE,Azucena (CG context)
chr03,gene,30474518,30476518,+,Os03g0742800,chr03,30476001,30476500,500,hyper,Os03g0742800,100,TRUE,Azucena (CG context)
chr03,gene,30474536,30476536,-,Os03g0742850,chr03,30476001,30476500,500,hyper,Os03g0742850,100,TRUE,Azucena (CG context)
chr03,gene,30546831,30548831,-,Os03g0744300,chr03,30548501,30549000,500,hyper,Os03g0744300,66.2,TRUE,Azucena (CG context)
chr03,gene,30786424,30788424,+,Os03g0748100,chr03,30787501,30788000,500,hypo,Os03g0748100,100,TRUE,Azucena (CG context)
chr03,gene,30992449,30994449,-,Os03g0751800,chr03,30993501,30994000,500,hyper,Os03g0751800,100,TRUE,Azucena (CG context)
chr03,gene,31595160,31597160,+,Os03g0764000,chr03,31596501,31597000,500,hypo,Os03g0764000,100,TRUE,Azucena (CG context)
chr03,gene,32111298,32113298,+,Os03g0774600,chr03,32111501,32112000,500,hypo,Os03g0774600,100,TRUE,Azucena (CG context)
chr03,gene,32591490,32593490,+,Os03g0785401,chr03,32592001,32592500,500,hypo,Os03g0785401,100,TRUE,Azucena (CG context)
chr03,gene,32895226,32897226,-,Os03g0791200,chr03,32896001,32896500,500,hypo,Os03g0791200,100,TRUE,Azucena (CG context)
chr03,gene,33182009,33184009,+,Os03g0796800,chr03,33182001,33182500,500,hyper,Os03g0796800,98.4,TRUE,Azucena (CG context)
chr03,gene,33716560,33718560,+,Os03g0806900,chr03,33717001,33717500,500,hypo,Os03g0806900,100,TRUE,Azucena (CG context)
chr03,gene,33754172,33756172,-,Os03g0807600,chr03,33754501,33755000,500,hypo,Os03g0807600,100,TRUE,Azucena (CG context)
chr03,gene,34008918,34010918,-,Os03g0812000,chr03,34010001,34010500,500,hypo,Os03g0812000,100,TRUE,Azucena (CG context)
chr03,gene,34338287,34340287,+,Os03g0818200,chr03,34339001,34339500,500,hyper,Os03g0818200,100,TRUE,Azucena (CG context)
chr03,gene,36101513,36103513,+,Os03g0856000,chr03,36102501,36103000,500,hyper,Os03g0856000,100,TRUE,Azucena (CG context)
chr04,gene,357245,359245,+,Os04g0105450,chr04,358501,359000,500,hypo,Os04g0105450,100,TRUE,Azucena (CG context)
chr04,gene,2279882,2281882,-,Os04g0134800,chr04,2280001,2280500,500,hypo,Os04g0134800,100,TRUE,Azucena (CG context)
chr04,gene,4872385,4874385,+,Os04g0171800,chr04,4874001,4874500,500,hypo,Os04g0171800,77,TRUE,Azucena (CG context)
chr04,gene,5776855,5778855,-,Os04g0184900,chr04,5778501,5779000,500,hypo,Os04g0184900,71,TRUE,Azucena (CG context)
chr04,gene,9714005,9716005,-,Os04g0251825,chr04,9714501,9715000,500,hyper,Os04g0251825,100,TRUE,Azucena (CG context)
chr04,gene,11052917,11054917,-,Os04g0267250,chr04,11054001,11054500,500,hypo,Os04g0267250,100,TRUE,Azucena (CG context)
chr04,gene,13842867,13844867,+,Os04g0307300,chr04,13844501,13845000,500,hypo,Os04g0307300,73.4,TRUE,Azucena (CG context)
chr04,gene,13916556,13918556,-,Os04g0308000,chr04,13916501,13917000,500,hyper,Os04g0308000,89,TRUE,Azucena (CG context)
chr04,gene,14060656,14062656,-,Os04g0310500,chr04,14061001,14061500,500,hypo,Os04g0310500,100,TRUE,Azucena (CG context)
chr04,gene,17183415,17185415,-,Os04g0359300,chr04,17185001,17185500,500,hyper,Os04g0359300,83,TRUE,Azucena (CG context)
chr04,gene,18040184,18042184,-,Os04g0370900,chr04,18040501,18041000,500,hypo,Os04g0370900,100,TRUE,Azucena (CG context)
chr04,gene,19120564,19122564,+,Os04g0388700,chr04,19121001,19121500,500,hypo,Os04g0388700,100,TRUE,Azucena (CG context)
chr04,gene,19231125,19233125,+,Os04g0390700,chr04,19232501,19233000,500,hyper,Os04g0390700,100,TRUE,Azucena (CG context)
chr04,gene,19490605,19492605,+,Os04g0395800,chr04,19490501,19491000,500,hyper,Os04g0395800,79.2,TRUE,Azucena (CG context)
chr04,gene,20531890,20533890,+,Os04g0415600,chr04,20533001,20533500,500,hypo,Os04g0415600,100,TRUE,Azucena (CG context)
chr04,gene,21378985,21380985,+,Os04g0431200,chr04,21380501,21381000,500,hyper,Os04g0431200,97,TRUE,Azucena (CG context)
chr04,gene,22351707,22353707,+,Os04g0448500,chr04,22352001,22352500,500,hyper,Os04g0448500,100,TRUE,Azucena (CG context)
chr04,gene,22351818,22353818,-,Os04g0448550,chr04,22352001,22352500,500,hyper,Os04g0448550,100,TRUE,Azucena (CG context)
chr04,gene,22370127,22372127,+,Os04g0448950,chr04,22370501,22371000,500,hypo,Os04g0448950,100,TRUE,Azucena (CG context)
chr04,gene,23157815,23159815,+,Os04g0463900,chr04,23158501,23159000,500,hypo,Os04g0463900,100,TRUE,Azucena (CG context)
chr04,gene,23455978,23457978,-,Os04g0469400,chr04,23457001,23457500,500,hyper,Os04g0469400,100,TRUE,Azucena (CG context)
chr04,gene,23542095,23544095,-,Os04g0471300,chr04,23542501,23543000,500,hyper,Os04g0471300,100,TRUE,Azucena (CG context)
chr04,gene,24211841,24213841,-,Os04g0484300,chr04,24213001,24213500,500,hyper,Os04g0484300,100,TRUE,Azucena (CG context)
chr04,gene,24251332,24253332,+,Os04g0485200,chr04,24251501,24252000,500,hyper,Os04g0485200,100,TRUE,Azucena (CG context)
chr04,gene,25638333,25640333,-,Os04g0513100,chr04,25640001,25640500,500,hyper,Os04g0513100,66.6,TRUE,Azucena (CG context)
chr04,gene,25638500,25640500,+,Os04g0513200,chr04,25640001,25640500,500,hyper,Os04g0513200,100,TRUE,Azucena (CG context)
chr04,gene,28031103,28033103,-,Os04g0559550,chr04,28031001,28031500,500,hyper,Os04g0559550,79.6,TRUE,Azucena (CG context)
chr04,gene,29388875,29390875,-,Os04g0581502,chr04,29389501,29390000,500,hyper,Os04g0581502,100,TRUE,Azucena (CG context)
chr04,gene,29389121,29391121,+,Os04g0581600,chr04,29389501,29390000,500,hyper,Os04g0581600,100,TRUE,Azucena (CG context)
chr04,gene,30493547,30495547,+,Os04g0604500,chr04,30493501,30494000,500,hypo,Os04g0604500,90.8,TRUE,Azucena (CG context)
chr04,gene,30850341,30852341,-,Os04g0609200,chr04,30851001,30851500,500,hyper,Os04g0609200,100,TRUE,Azucena (CG context)
chr04,gene,31529978,31531978,+,Os04g0620400,chr04,31530501,31531000,500,hypo,Os04g0620400,100,TRUE,Azucena (CG context)
chr04,gene,34442832,34444832,-,Os04g0674700,chr04,34443001,34443500,500,hypo,Os04g0674700,100,TRUE,Azucena (CG context)
chr04,gene,34443022,34445022,+,Os04g0674750,chr04,34443001,34443500,500,hypo,Os04g0674750,95.8,TRUE,Azucena (CG context)
chr04,gene,35213245,35215245,-,Os04g0688500,chr04,35214001,35214500,500,hypo,Os04g0688500,100,TRUE,Azucena (CG context)
chr04,gene,35325019,35327019,+,Os04g0690500,chr04,35325501,35326000,500,hypo,Os04g0690500,100,TRUE,Azucena (CG context)
chr04,gene,35460597,35462597,+,Os04g0692800,chr04,35462001,35462500,500,hypo,Os04g0692800,100,TRUE,Azucena (CG context)
chr05,gene,512864,514864,+,Os05g0109400,chr05,513501,514000,500,hypo,Os05g0109400,100,TRUE,Azucena (CG context)
chr05,gene,564502,566502,-,Os05g0110600,chr05,566001,566500,500,hyper,Os05g0110600,100,TRUE,Azucena (CG context)
chr05,gene,1140017,1142017,+,Os05g0121400,chr05,1141501,1142000,500,hypo,Os05g0121400,100,TRUE,Azucena (CG context)
chr05,gene,1473291,1475291,+,Os05g0125600,chr05,1474001,1474500,500,hyper,Os05g0125600,100,TRUE,Azucena (CG context)
chr05,gene,1519685,1521685,-,Os05g0126800,chr05,1520501,1521000,500,hypo,Os05g0126800,100,TRUE,Azucena (CG context)
chr05,gene,2376791,2378791,-,Os05g0141400,chr05,2377501,2378000,500,hypo,Os05g0141400,100,TRUE,Azucena (CG context)
chr05,gene,2823324,2825324,+,Os05g0149400,chr05,2824001,2824500,500,hypo,Os05g0149400,100,TRUE,Azucena (CG context)
chr05,gene,2823824,2825824,-,Os05g0149450,chr05,2824001,2824500,500,hypo,Os05g0149450,100,TRUE,Azucena (CG context)
chr05,gene,2985591,2987591,+,Os05g0151700,chr05,2985501,2986000,500,hypo,Os05g0151700,82,TRUE,Azucena (CG context)
chr05,gene,5938163,5940163,+,Os05g0196500,chr05,5938501,5939000,500,hyper,Os05g0196500,100,TRUE,Azucena (CG context)
chr05,gene,7156206,7158206,-,Os05g0215500,chr05,7156501,7157000,500,hypo,Os05g0215500,100,TRUE,Azucena (CG context)
chr05,gene,7376697,7378697,-,Os05g0219900,chr05,7377501,7378000,500,hypo,Os05g0219900,100,TRUE,Azucena (CG context)
