Chromosome,Feature,Start,End,Strand,ID_gene,seqnames,start,end,width,Status,Gene,coverage_percentage,overlap,file
chr01,repeat_unit,22313589,22323886,-,LTR_Os_chr_09_1736#LTR,chr01,22322501,22323000,500,hypo,LTR_Os_chr_09_1736#LTR,100,TRUE,Azucena (CG context)
chr01,repeat_unit,22694513,22694815,-,LTR_Os_chr_09_1785#LTR,chr01,22694501,22695000,500,hypo,LTR_Os_chr_09_1785#LTR,60.6,TRUE,Azucena (CG context)
chr01,repeat_unit,23434715,23435320,-,ORSiTETNOOT00116#DNA,chr01,23435001,23435500,500,hypo,ORSiTETNOOT00116#DNA,64,TRUE,Azucena (CG context)
chr01,repeat_unit,24006723,24008084,+,LTR_Os_chr_08_1493#LTR/Copia,chr01,24007001,24007500,500,hyper,LTR_Os_chr_08_1493#LTR/Copia,100,TRUE,Azucena (CG context)
chr01,repeat_unit,25245511,25246641,-,OSTE33#DNA/MuDR,chr01,25245501,25246000,500,hypo,OSTE33#DNA/MuDR,98,TRUE,Azucena (CG context)
chr01,repeat_unit,25268200,25268825,-,LTR_Os_chr_01_191#LTR,chr01,25268001,25268500,500,hypo,LTR_Os_chr_01_191#LTR,60.2,TRUE,Azucena (CG context)
chr01,repeat_unit,25676201,25676783,-,rn_216-127_retroryza#LTR,chr01,25676001,25676500,500,hypo,rn_216-127_retroryza#LTR,60,TRUE,Azucena (CG context)
chr01,repeat_unit,26207436,26217299,-,ENSPM6_OS#DNA/En-Spm,chr01,26215501,26216000,500,hyper,ENSPM6_OS#DNA/En-Spm,100,TRUE,Azucena (CG context)
chr01,repeat_unit,27399716,27408719,+,LTR_Os_chr_01_167#LTR,chr01,27401501,27402000,500,hypo,LTR_Os_chr_01_167#LTR,100,TRUE,Azucena (CG context)
chr01,repeat_unit,27826505,27828144,+,LTR_Os_chr_11_2096#LTR,chr01,27826501,27827000,500,hypo,LTR_Os_chr_11_2096#LTR,99.2,TRUE,Azucena (CG context)
chr01,repeat_unit,29195609,29195917,-,ORSgTEMT00100182,chr01,29195501,29196000,500,hyper,ORSgTEMT00100182,61.8,TRUE,Azucena (CG context)
chr01,repeat_unit,29201210,29202321,-,LTR_Os_chr_01_191#LTR,chr01,29201001,29202000,1000,hypo,LTR_Os_chr_01_191#LTR,79.1,TRUE,Azucena (CG context)
chr01,repeat_unit,30238446,30240104,-,osr7_retroryza#LTR/Copia,chr01,30239501,30240000,500,hypo,osr7_retroryza#LTR/Copia,100,TRUE,Azucena (CG context)
chr01,repeat_unit,31264553,31265337,+,LTR_Os_chr_10_1937#LTR,chr01,31265001,31265500,500,hyper,LTR_Os_chr_10_1937#LTR,67.4,TRUE,Azucena (CG context)
chr01,repeat_unit,31420926,31421651,+,LINE-05_OS#LINE,chr01,31421001,31421500,500,hypo,LINE-05_OS#LINE,100,TRUE,Azucena (CG context)
chr01,repeat_unit,32407400,32414514,+,TREP3429#DNA/En-Spm,chr01,32410001,32410500,500,hypo,TREP3429#DNA/En-Spm,100,TRUE,Azucena (CG context)
chr01,repeat_unit,32805088,32805427,-,ORSgTEMT00101004,chr01,32805001,32805500,500,hypo,ORSgTEMT00101004,68,TRUE,Azucena (CG context)
chr01,repeat_unit,33171082,33171390,-,Osr31_AP003054-0#Other,chr01,33171001,33171500,500,hypo,Osr31_AP003054-0#Other,61.8,TRUE,Azucena (CG context)
chr01,repeat_unit,33522534,33530099,-,Os4_05_6L#LTR,chr01,33522501,33523500,1000,hypo,Os4_05_6L#LTR,96.7,TRUE,Azucena (CG context)
chr01,repeat_unit,33900003,33900365,+,LTR_Os_chr_01_191#LTR,chr01,33900001,33900500,500,hyper,LTR_Os_chr_01_191#LTR,72.6,TRUE,Azucena (CG context)
chr01,repeat_unit,35323660,35323969,+,ORSgTEMT00101531,chr01,35323501,35324000,500,hypo,ORSgTEMT00101531,62,TRUE,Azucena (CG context)
chr01,repeat_unit,36818324,36829564,+,ORSgTETN00200001,chr01,36818501,36819000,500,hypo,ORSgTETN00200001,100,TRUE,Azucena (CG context)
chr01,repeat_unit,39148014,39148338,-,ORSgTEMT00800060,chr01,39148001,39148500,500,hypo,ORSgTEMT00800060,65,TRUE,Azucena (CG context)
chr01,repeat_unit,39344586,39344933,+,MERMITE18B#DNA,chr01,39344501,39345000,500,hyper,MERMITE18B#DNA,69.6,TRUE,Azucena (CG context)
chr01,repeat_unit,39403043,39407756,-,osr12_retroryza#LTR/Copia,chr01,39403001,39404000,1000,hyper,osr12_retroryza#LTR/Copia,95.8,TRUE,Azucena (CG context)
chr01,repeat_unit,41359855,41364467,-,LTR_Os_chr_05_1037#LTR/Copia,chr01,41363501,41365000,1500,hyper,LTR_Os_chr_05_1037#LTR/Copia,64.4666666666667,TRUE,Azucena (CG context)
chr01,repeat_unit,41595696,41596367,+,DS-RICE4N#DNA/hAT,chr01,41596001,41596500,500,hypo,DS-RICE4N#DNA/hAT,73.4,TRUE,Azucena (CG context)
chr02,repeat_unit,427143,427503,-,ORSgTEMT00600042,chr02,427001,427500,500,hyper,ORSgTEMT00600042,71.6,TRUE,Azucena (CG context)
chr02,repeat_unit,2720726,2721969,-,MERMITE#DNA,chr02,2721501,2722000,500,hyper,MERMITE#DNA,93.8,TRUE,Azucena (CG context)
chr02,repeat_unit,5941225,5942360,-,LTR_Os_chr_03_545#LTR,chr02,5942001,5942500,500,hypo,LTR_Os_chr_03_545#LTR,72,TRUE,Azucena (CG context)
chr02,repeat_unit,8235505,8235866,+,ORSgOTOT00000198,chr02,8235501,8236000,500,hypo,ORSgOTOT00000198,72.4,TRUE,Azucena (CG context)
chr02,repeat_unit,9105191,9105515,-,ORSgTEMT00300037,chr02,9105001,9105500,500,hyper,ORSgTEMT00300037,62,TRUE,Azucena (CG context)
chr02,repeat_unit,9594442,9594817,+,LTR_Os_chr_01_191#LTR,chr02,9594501,9595000,500,hypo,LTR_Os_chr_01_191#LTR,63.4,TRUE,Azucena (CG context)
chr02,repeat_unit,10728158,10731202,-,LTR_Os_chr_01_31#LTR,chr02,10728001,10728500,500,hypo,LTR_Os_chr_01_31#LTR,68.6,TRUE,Azucena (CG context)
chr02,repeat_unit,12238174,12243661,+,LTR_Os_chr_02_289#LTR,chr02,12238501,12239000,500,hyper,LTR_Os_chr_02_289#LTR,100,TRUE,Azucena (CG context)
chr02,repeat_unit,12781440,12783109,-,LTR_Os_chr_05_975#LTR,chr02,12782501,12783000,500,hypo,LTR_Os_chr_05_975#LTR,100,TRUE,Azucena (CG context)
chr02,repeat_unit,13972984,13974244,-,LTR_Os_chr_11_1964#LTR,chr02,13973501,13974000,500,hypo,LTR_Os_chr_11_1964#LTR,100,TRUE,Azucena (CG context)
chr02,repeat_unit,14578620,14579312,-,LTR_Os_chr_04_713#LTR,chr02,14578501,14579000,500,hypo,LTR_Os_chr_04_713#LTR,76.2,TRUE,Azucena (CG context)
chr02,repeat_unit,16523591,16532147,-,LTR_Os_chr_02_325#LTR,chr02,16523501,16524500,1000,hypo,LTR_Os_chr_02_325#LTR,91,TRUE,Azucena (CG context)
chr02,repeat_unit,16954196,16954819,-,DS-RICE4N#DNA/hAT,chr02,16954001,16954500,500,hypo,DS-RICE4N#DNA/hAT,61,TRUE,Azucena (CG context)
chr02,repeat_unit,17845018,17845850,-,LTR_Os_chr_06_1124#LTR/Gypsy,chr02,17845001,17845500,500,hypo,LTR_Os_chr_06_1124#LTR/Gypsy,96.6,TRUE,Azucena (CG context)
chr02,repeat_unit,17864096,17864399,-,TYPEU2#DNA,chr02,17864001,17864500,500,hypo,TYPEU2#DNA,60.8,TRUE,Azucena (CG context)
chr02,repeat_unit,21703182,21711926,-,LTR_Os_chr_02_248#LTR,chr02,21710501,21711000,500,hyper,LTR_Os_chr_02_248#LTR,100,TRUE,Azucena (CG context)
chr02,repeat_unit,21784722,21787705,-,LTR_Os_chr_01_201#LTR,chr02,21787001,21787500,500,hypo,LTR_Os_chr_01_201#LTR,100,TRUE,Azucena (CG context)
chr02,repeat_unit,22656844,22660762,-,LTR_Os_chr_04_800#LTR,chr02,22657001,22658000,1000,hypo,LTR_Os_chr_04_800#LTR,100,TRUE,Azucena (CG context)
chr02,repeat_unit,23104526,23104884,-,ORSgTEMT00101493,chr02,23104501,23105000,500,hypo,ORSgTEMT00101493,71.8,TRUE,Azucena (CG context)
chr02,repeat_unit,24383495,24383895,+,ORSgTETNOOT02147,chr02,24383501,24384000,500,hyper,ORSgTETNOOT02147,79,TRUE,Azucena (CG context)
chr02,repeat_unit,25284687,25285944,+,MERMITE#DNA,chr02,25285501,25286000,500,hypo,MERMITE#DNA,88.8,TRUE,Azucena (CG context)
chr02,repeat_unit,28457340,28463935,+,LTR_Os_chr_01_31#LTR,chr02,28463501,28464000,500,hypo,LTR_Os_chr_01_31#LTR,87,TRUE,Azucena (CG context)
chr02,repeat_unit,30768168,30768511,-,MERMITEH#DNA,chr02,30768001,30768500,500,hyper,MERMITEH#DNA,66.6,TRUE,Azucena (CG context)
chr02,repeat_unit,31619070,31619701,+,LTR_Os_chr_01_191#LTR,chr02,31619001,31619500,500,hypo,LTR_Os_chr_01_191#LTR,86.2,TRUE,Azucena (CG context)
chr02,repeat_unit,32215843,32222285,-,ORSgTERT00100543,chr02,32216001,32216500,500,hypo,ORSgTERT00100543,100,TRUE,Azucena (CG context)
chr02,repeat_unit,34010137,34015809,-,LTR_Os_chr_02_408#LTR/Copia,chr02,34011501,34012000,500,hypo,LTR_Os_chr_02_408#LTR/Copia,100,TRUE,Azucena (CG context)
chr02,repeat_unit,34720470,34720822,+,CLOUD-7#DNA/MuDR,chr02,34720501,34721000,500,hypo,CLOUD-7#DNA/MuDR,64.4,TRUE,Azucena (CG context)
chr03,repeat_unit,2949118,2949444,+,ORSgTEMT00101541,chr03,2949001,2949500,500,hypo,ORSgTEMT00101541,65.4,TRUE,Azucena (CG context)
chr03,repeat_unit,4365997,4366340,-,OLO24#DNA/Mite,chr03,4366001,4366500,500,hyper,OLO24#DNA/Mite,68,TRUE,Azucena (CG context)
chr03,repeat_unit,5003022,5009193,-,LTR_Os_chr_03_435#LTR/Gypsy,chr03,5003001,5003500,500,hypo,LTR_Os_chr_03_435#LTR/Gypsy,95.8,TRUE,Azucena (CG context)
chr03,repeat_unit,5615602,5615938,-,LTR_Os_chr_05_1051#LTR,chr03,5615501,5616000,500,hypo,LTR_Os_chr_05_1051#LTR,67.4,TRUE,Azucena (CG context)
chr03,repeat_unit,8056550,8056898,+,LTR_Os_chr_06_1075#LTR,chr03,8056501,8057000,500,hypo,LTR_Os_chr_06_1075#LTR,69.8,TRUE,Azucena (CG context)
chr03,repeat_unit,8463961,8465283,-,LTR_Os_chr_06_1176#LTR,chr03,8464501,8465000,500,hyper,LTR_Os_chr_06_1176#LTR,100,TRUE,Azucena (CG context)
chr03,repeat_unit,13611076,13611517,+,LTR_Os_chr_05_858#LTR/Gypsy,chr03,13611001,13611500,500,hypo,LTR_Os_chr_05_858#LTR/Gypsy,85,TRUE,Azucena (CG context)
chr03,repeat_unit,15594102,15594565,-,ORSiTEMT05300001#DNA/Mite,chr03,15594001,15594500,500,hypo,ORSiTEMT05300001#DNA/Mite,79.8,TRUE,Azucena (CG context)
chr03,repeat_unit,16509048,16510006,+,rn_313-186_retroryza#LTR,chr03,16509001,16509500,500,hypo,rn_313-186_retroryza#LTR,90.6,TRUE,Azucena (CG context)
chr03,repeat_unit,17578765,17579301,-,LTR_Os_chr_07_1337#LTR,chr03,17579001,17579500,500,hyper,LTR_Os_chr_07_1337#LTR,60.2,TRUE,Azucena (CG context)
chr03,repeat_unit,18056331,18056941,+,XIKE#DNA/MuDR,chr03,18056501,18057000,500,hyper,XIKE#DNA/MuDR,88.2,TRUE,Azucena (CG context)
chr03,repeat_unit,20305309,20305867,+,ORSiCMCM00100017,chr03,20305501,20306000,500,hypo,ORSiCMCM00100017,73.4,TRUE,Azucena (CG context)
chr03,repeat_unit,20993978,20994337,-,ORSgTEMT00600172,chr03,20994001,20994500,500,hyper,ORSgTEMT00600172,67.4,TRUE,Azucena (CG context)
chr03,repeat_unit,22652710,22656287,+,LTR_Os_chr_04_652#LTR,chr03,22653001,22653500,500,hyper,LTR_Os_chr_04_652#LTR,100,TRUE,Azucena (CG context)
chr03,repeat_unit,23072538,23072894,+,Osr31_AP003054-0#Other,chr03,23072501,23073000,500,hyper,Osr31_AP003054-0#Other,71.4,TRUE,Azucena (CG context)
chr03,repeat_unit,24149157,24149663,+,OSLINE1-3#LINE,chr03,24149001,24149500,500,hypo,OSLINE1-3#LINE,68.8,TRUE,Azucena (CG context)
chr03,repeat_unit,24330059,24330802,-,CLOUD#DNA/MuDR,chr03,24330501,24331000,500,hypo,CLOUD#DNA/MuDR,60.4,TRUE,Azucena (CG context)
chr03,repeat_unit,25947046,25947372,+,ORSgTEMT00100432,chr03,25947001,25947500,500,hyper,ORSgTEMT00100432,65.4,TRUE,Azucena (CG context)
chr03,repeat_unit,27685154,27685460,-,MERMITE18B#DNA,chr03,27685001,27685500,500,hypo,MERMITE18B#DNA,61.4,TRUE,Azucena (CG context)
chr03,repeat_unit,27786982,27787476,-,LTR_Os_chr_01_191#LTR,chr03,27787001,27787500,500,hypo,LTR_Os_chr_01_191#LTR,95.2,TRUE,Azucena (CG context)
chr03,repeat_unit,28606614,28606916,+,TYPEU4#DNA,chr03,28606501,28607000,500,hyper,TYPEU4#DNA,60.6,TRUE,Azucena (CG context)
chr03,repeat_unit,28644075,28644530,+,LTR_Os_chr_05_1051#LTR,chr03,28644001,28644500,500,hypo,LTR_Os_chr_05_1051#LTR,85.2,TRUE,Azucena (CG context)
chr03,repeat_unit,28658560,28658871,+,ORSiTEMT00100007#DNA/Mite,chr03,28658501,28659000,500,hypo,ORSiTEMT00100007#DNA/Mite,62.4,TRUE,Azucena (CG context)
chr03,repeat_unit,29879677,29880029,+,LTR_Os_chr_05_965#LTR,chr03,29879501,29880000,500,hyper,LTR_Os_chr_05_965#LTR,64.8,TRUE,Azucena (CG context)
chr03,repeat_unit,30476130,30476468,+,ORSgTEMT03800007,chr03,30476001,30476500,500,hyper,ORSgTEMT03800007,67.8,TRUE,Azucena (CG context)
chr03,repeat_unit,32111650,32113117,-,MERMITE#DNA,chr03,32111501,32112000,500,hypo,MERMITE#DNA,70.2,TRUE,Azucena (CG context)
chr03,repeat_unit,32410625,32414298,-,LINE-4_OS#LINE,chr03,32410501,32411000,500,hypo,LINE-4_OS#LINE,75.2,TRUE,Azucena (CG context)
chr03,repeat_unit,32489423,32490367,+,LTR_Os_chr_06_1078#LTR,chr03,32490001,32490500,500,hypo,LTR_Os_chr_06_1078#LTR,73.4,TRUE,Azucena (CG context)
chr03,repeat_unit,34009854,34010375,+,ORSiTEMT05300003#DNA/Mite,chr03,34010001,34010500,500,hypo,ORSiTEMT05300003#DNA/Mite,75,TRUE,Azucena (CG context)
chr03,repeat_unit,35641731,35645240,-,LTR_Os_chr_06_1138#LTR,chr03,35643501,35644000,500,hypo,LTR_Os_chr_06_1138#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,313452,313837,+,LTR_Os_chr_11_2051#LTR/Gypsy,chr04,313501,314000,500,hyper,LTR_Os_chr_11_2051#LTR/Gypsy,67.4,TRUE,Azucena (CG context)
chr04,repeat_unit,792645,794073,-,LTR_Os_chr_10_1834#LTR,chr04,793501,794000,500,hypo,LTR_Os_chr_10_1834#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,890760,894093,-,LTR_Os_chr_05_956#LTR/Copia,chr04,891501,892000,500,hypo,LTR_Os_chr_05_956#LTR/Copia,100,TRUE,Azucena (CG context)
chr04,repeat_unit,2737282,2738730,-,LTR_Os_chr_12_2225#LTR/Copia,chr04,2736501,2738500,2000,hyper,LTR_Os_chr_12_2225#LTR/Copia,60.95,TRUE,Azucena (CG context)
chr04,repeat_unit,2895053,2906378,+,LTR_Os_chr_04_610#LTR/Gypsy,chr04,2905501,2906500,1000,hyper,LTR_Os_chr_04_610#LTR/Gypsy,87.8,TRUE,Azucena (CG context)
chr04,repeat_unit,2952590,2956215,+,LTR_Os_chr_08_1562#LTR,chr04,2955001,2955500,500,hyper,LTR_Os_chr_08_1562#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,3010478,3011419,-,ORSiTETN00200007,chr04,3011001,3011500,500,hypo,ORSiTETN00200007,83.8,TRUE,Azucena (CG context)
chr04,repeat_unit,3285193,3288337,+,LTR_Os_chr_06_1130#LTR,chr04,3285001,3287000,2000,hypo,LTR_Os_chr_06_1130#LTR,90.4,TRUE,Azucena (CG context)
chr04,repeat_unit,3704324,3704885,+,ORSiTETNOOT00055#DNA,chr04,3704501,3705000,500,hypo,ORSiTETNOOT00055#DNA,77,TRUE,Azucena (CG context)
chr04,repeat_unit,3717856,3724025,-,LTR_Os_chr_04_620#LTR,chr04,3719001,3719500,500,hypo,LTR_Os_chr_04_620#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,7465283,7466353,+,rn_119-116_retroryza#LTR,chr04,7466001,7466500,500,hypo,rn_119-116_retroryza#LTR,70.6,TRUE,Azucena (CG context)
chr04,repeat_unit,8802314,8805172,+,TRUNCATOR2_OS#LTR/Gypsy,chr04,8803501,8804000,500,hypo,TRUNCATOR2_OS#LTR/Gypsy,100,TRUE,Azucena (CG context)
chr04,repeat_unit,9422123,9426074,-,Os6_12_1B#LTR/Gypsy,chr04,9422001,9422500,500,hypo,Os6_12_1B#LTR/Gypsy,75.6,TRUE,Azucena (CG context)
chr04,repeat_unit,10832198,10832506,-,LTR_Os_chr_11_2033#LTR/Gypsy,chr04,10832001,10832500,500,hyper,LTR_Os_chr_11_2033#LTR/Gypsy,60.6,TRUE,Azucena (CG context)
chr04,repeat_unit,10865310,10868273,-,LTR_Os_chr_07_1360#LTR,chr04,10867501,10868000,500,hyper,LTR_Os_chr_07_1360#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,11832481,11838577,-,LTR_Os_chr_04_713#LTR,chr04,11832501,11833500,1000,hypo,LTR_Os_chr_04_713#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,12181791,12193427,-,LTR_Os_chr_04_716#LTR,chr04,12192001,12192500,500,hyper,LTR_Os_chr_04_716#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,12320850,12322107,+,rn_305-180_retroryza#LTR,chr04,12321001,12321500,500,hypo,rn_305-180_retroryza#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,13554449,13569067,-,LTR_Os_chr_04_727#LTR,chr04,13554501,13555000,500,hyper,LTR_Os_chr_04_727#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,14653597,14656301,+,LTR_Os_chr_06_1138#LTR,chr04,14653501,14654500,1000,hyper,LTR_Os_chr_06_1138#LTR,90.4,TRUE,Azucena (CG context)
chr04,repeat_unit,16526950,16528046,-,LTR_Os_chr_08_1487#LTR,chr04,16527501,16528000,500,hyper,LTR_Os_chr_08_1487#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,19232527,19232880,+,SINE03_OS#SINE,chr04,19232501,19233000,500,hyper,SINE03_OS#SINE,70.8,TRUE,Azucena (CG context)
chr04,repeat_unit,20361649,20361996,-,LTR_Os_chr_09_1809#LTR/Copia,chr04,20361501,20362000,500,hyper,LTR_Os_chr_09_1809#LTR/Copia,69.6,TRUE,Azucena (CG context)
chr04,repeat_unit,22352196,22352535,-,OLO24#DNA/Mite,chr04,22352001,22352500,500,hyper,OLO24#DNA/Mite,61,TRUE,Azucena (CG context)
chr04,repeat_unit,22532115,22532793,-,LTR_Os_chr_04_718#LTR,chr04,22532001,22532500,500,hypo,LTR_Os_chr_04_718#LTR,77.2,TRUE,Azucena (CG context)
chr04,repeat_unit,23444484,23457365,-,LTR_Os_chr_04_781#LTR/Gypsy,chr04,23457001,23457500,500,hyper,LTR_Os_chr_04_781#LTR/Gypsy,73,TRUE,Azucena (CG context)
chr04,repeat_unit,28885028,28888263,+,LTR_Os_chr_04_795#LTR,chr04,28886501,28887000,500,hypo,LTR_Os_chr_04_795#LTR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,29097320,29097804,+,LTR_Os_chr_01_191#LTR,chr04,29097501,29098000,500,hypo,LTR_Os_chr_01_191#LTR,60.8,TRUE,Azucena (CG context)
chr04,repeat_unit,30489498,30495212,+,MUDR1_OS#DNA/MuDR,chr04,30493501,30494000,500,hypo,MUDR1_OS#DNA/MuDR,100,TRUE,Azucena (CG context)
chr04,repeat_unit,31222195,31222543,+,ORSgTEMT00600035,chr04,31222001,31222500,500,hyper,ORSgTEMT00600035,61.2,TRUE,Azucena (CG context)
chr04,repeat_unit,31223047,31223405,+,LTR_Os_chr_05_1051#LTR,chr04,31223001,31223500,500,hypo,LTR_Os_chr_05_1051#LTR,71.8,TRUE,Azucena (CG context)
chr04,repeat_unit,34007639,34013665,-,LTR_Os_chr_04_836#LTR/Gypsy,chr04,34012001,34012500,500,hypo,LTR_Os_chr_04_836#LTR/Gypsy,100,TRUE,Azucena (CG context)
chr05,repeat_unit,2068899,2071542,-,MuDR2_OS#DNA/MuDR,chr05,2070501,2071500,1000,hypo,MuDR2_OS#DNA/MuDR,100,TRUE,Azucena (CG context)
chr05,repeat_unit,2918542,2918845,+,ORSgTEMT01900008,chr05,2918501,2919000,500,hypo,ORSgTEMT01900008,60.8,TRUE,Azucena (CG context)
chr05,repeat_unit,5034943,5035917,-,LTR_Os_chr_01_143#LTR,chr05,5035501,5036000,500,hyper,LTR_Os_chr_01_143#LTR,83.4,TRUE,Azucena (CG context)
chr05,repeat_unit,7540316,7550279,+,LTR_Os_chr_04_775#LTR,chr05,7549001,7550500,1500,hypo,LTR_Os_chr_04_775#LTR,85.2666666666667,TRUE,Azucena (CG context)
chr05,repeat_unit,7750380,7750983,+,SEVERIN-2#DNA,chr05,7750501,7751000,500,hypo,SEVERIN-2#DNA,96.6,TRUE,Azucena (CG context)
chr05,repeat_unit,8064900,8077841,+,LTR_Os_chr_05_898#LTR/Gypsy,chr05,8077001,8077500,500,hypo,LTR_Os_chr_05_898#LTR/Gypsy,100,TRUE,Azucena (CG context)
chr05,repeat_unit,9329613,9330666,+,rn_216-127_retroryza#LTR,chr05,9330001,9330500,500,hyper,rn_216-127_retroryza#LTR,100,TRUE,Azucena (CG context)
chr05,repeat_unit,9379210,9380568,+,rn_216-127_retroryza#LTR,chr05,9380001,9380500,500,hypo,rn_216-127_retroryza#LTR,100,TRUE,Azucena (CG context)
chr05,repeat_unit,15120759,15124583,+,LTR_Os_chr_03_497#LTR,chr05,15123501,15124000,500,hypo,LTR_Os_chr_03_497#LTR,100,TRUE,Azucena (CG context)
chr05,repeat_unit,17135089,17135405,+,LTR_Os_chr_06_1176#LTR,chr05,17135001,17135500,500,hypo,LTR_Os_chr_06_1176#LTR,63.4,TRUE,Azucena (CG context)
chr05,repeat_unit,17259397,17265202,-,SPMLIKE#DNA/En-Spm,chr05,17259501,17260000,500,hypo,SPMLIKE#DNA/En-Spm,100,TRUE,Azucena (CG context)
chr05,repeat_unit,21465433,21471419,+,LTR_Os_chr_11_2023#LTR/Copia,chr05,21471001,21471500,500,hypo,LTR_Os_chr_11_2023#LTR/Copia,83.8,TRUE,Azucena (CG context)
chr05,repeat_unit,22780209,22781672,+,LTR_Os_chr_01_191#LTR,chr05,22781001,22781500,500,hypo,LTR_Os_chr_01_191#LTR,100,TRUE,Azucena (CG context)
chr05,repeat_unit,24267983,24268327,-,SINE03_OS#SINE,chr05,24268001,24268500,500,hyper,SINE03_OS#SINE,65.4,TRUE,Azucena (CG context)
chr05,repeat_unit,29857619,29866360,-,LTR_Os_chr_04_650#LTR,chr05,29864501,29865000,500,hyper,LTR_Os_chr_04_650#LTR,100,TRUE,Azucena (CG context)
chr06,repeat_unit,709513,709833,+,ORSiTEMT00100013#DNA/Mite,chr06,709501,710000,500,hypo,ORSiTEMT00100013#DNA/Mite,64.2,TRUE,Azucena (CG context)
chr06,repeat_unit,769240,774718,+,LTR_Os_chr_08_1634#LTR,chr06,774001,774500,500,hypo,LTR_Os_chr_08_1634#LTR,100,TRUE,Azucena (CG context)
chr06,repeat_unit,884892,897539,+,LTR_Os_chr_06_1062#LTR,chr06,885001,885500,500,hypo,LTR_Os_chr_06_1062#LTR,100,TRUE,Azucena (CG context)
chr06,repeat_unit,2075206,2076520,+,MERMITE#DNA,chr06,2076001,2076500,500,hypo,MERMITE#DNA,100,TRUE,Azucena (CG context)
chr06,repeat_unit,3566111,3569984,+,LTR_Os_chr_09_1750#LTR/Gypsy,chr06,3569501,3570000,500,hyper,LTR_Os_chr_09_1750#LTR/Gypsy,96.8,TRUE,Azucena (CG context)
chr06,repeat_unit,6641651,6642095,+,LTR_Os_chr_01_191#LTR,chr06,6641501,6642000,500,hyper,LTR_Os_chr_01_191#LTR,70,TRUE,Azucena (CG context)
chr06,repeat_unit,9632182,9633039,+,ENSPM3_OS#DNA/En-Spm,chr06,9632001,9632500,500,hyper,ENSPM3_OS#DNA/En-Spm,63.8,TRUE,Azucena (CG context)
chr06,repeat_unit,10456131,10456556,-,LTR_Os_chr_02_306#LTR,chr06,10456001,10456500,500,hypo,LTR_Os_chr_02_306#LTR,74,TRUE,Azucena (CG context)
chr06,repeat_unit,10942748,10954400,+,LTR_Os_chr_06_1114#LTR,chr06,10953501,10954000,500,hypo,LTR_Os_chr_06_1114#LTR,100,TRUE,Azucena (CG context)
